0,-24,-8,1013,560,-210,-1050,0,-10,1000,-466,-156,-321
6168,-25,-10,1015,560,-210,-1050,0,-6,996,-456,-154,-321
12348,-23,-12,989,420,-70,-980,0,-6,1001,-475,-151,-324
18528,-23,-12,989,420,-70,-980,0,-11,1001,-475,-151,-324
24708,-25,-5,1018,490,-280,-1050,0,-9,1003,-459,-153,-324
30888,-25,-5,1014,560,-210,-1050,0,-9,1003,-459,-153,-324
37068,-26,-6,1014,560,-210,-1050,0,-14,1008,-465,-150,-322
43248,-24,-11,1013,560,-210,-1050,-2,-8,1000,-462,-157,-322
49427,-24,-11,1013,560,-210,-1050,-2,-8,1000,-462,-157,-322
55607,-25,-8,1015,560,-210,-1050,1,-10,1002,-469,-160,-322
61787,-27,-8,1010,560,-210,-1050,1,-10,1002,-471,-162,-322
67967,-27,-8,1010,560,-210,-1050,0,-9,1007,-471,-162,-322
74147,-25,-7,1015,560,-210,-1120,-1,-10,997,-468,-157,-315
80327,-24,-8,1013,490,-210,-1050,-1,-10,997,-468,-157,-315
86507,-24,-8,1013,490,-210,-1050,-1,-10,995,-460,-153,-325
92687,-24,-9,1014,490,-210,-1050,-2,-12,997,-460,-160,-331
98867,-24,-9,1014,560,-210,-1050,-2,-12,997,-460,-160,-331
105047,-23,-8,1014,560,-210,-1050,-1,-10,997,-463,-160,-322
111227,-24,-10,1012,490,-210,-1050,-1,-10,997,-466,-162,-316
117407,-24,-10,1012,490,-210,-1050,-2,-8,1000,-466,-162,-316
123587,-25,-9,1013,490,-210,-1050,0,-10,998,-472,-154,-330
129767,-25,-7,1014,490,-280,-1120,0,-10,998,-472,-154,-330
135947,-25,-7,1014,490,-280,-1120,0,-10,999,-468,-171,-327
142127,-24,-8,1014,420,-350,-1120,0,-10,999,-469,-159,-325
148307,-26,-10,1012,490,-420,-1120,1,-5,996,-469,-159,-325
154487,-26,-10,1012,490,-420,-1120,-2,-12,1006,-471,-153,-316
160667,-23,-6,1013,840,-770,-1190,-2,-12,1006,-471,-165,-321
166847,-23,-6,1013,490,-350,-1120,0,-11,1000,-459,-165,-321
173027,-24,-10,1012,490,-350,-1120,-1,-16,1009,-474,-154,-319
179207,-23,-7,1018,560,-280,-1050,-1,-16,1009,-474,-154,-319
185387,-23,-7,1018,560,-140,-1050,0,-8,996,-477,-159,-327
191567,-27,-11,1007,420,-140,-1050,0,-8,996,-462,-154,-333
197746,-23,-7,1019,560,-210,-1050,1,-11,1009,-462,-154,-333
