0,11,-38,1007,-1190,0,0,-29,-39,1010,-508,34,-492,
6168,11,-38,1007,-1120,-70,-70,-29,-39,1010,-508,34,-492,6168
12348,11,-38,1004,-1120,-70,-70,-29,-42,1010,-501,25,-495,6180
18528,11,-37,1003,-1190,-70,-70,-26,-38,1014,-516,33,-502,6180
24709,11,-37,1003,-1470,0,0,-26,-38,1014,-516,33,-502,6181
30889,12,-38,1007,-1470,0,0,-28,-41,1014,-505,33,-504,6180
37069,11,-39,1013,-1610,140,0,-30,-37,1019,-505,33,-495,6180
43249,11,-39,1013,-1400,70,0,-30,-37,1019,-507,36,-495,6180
49429,10,-40,1014,-1400,70,0,-27,-35,1008,-507,39,-505,6180
55610,10,-38,1009,-1050,-70,-70,-27,-35,1008,-507,39,-505,6181
61790,10,-38,1009,-1050,-140,0,-28,-41,1010,-507,30,-504,6180
67970,10,-36,1003,-1050,-140,0,-24,-36,1012,-508,24,-495,6180
74150,11,-36,1002,-1260,-70,-70,-24,-36,1012,-508,24,-495,6180
80331,11,-36,1002,-1260,70,-70,-26,-38,1014,-513,24,-501,6181
86511,10,-39,1007,-1470,70,-70,-31,-37,1013,-513,24,-501,6180
92691,9,-41,1012,-1470,70,-70,-31,-37,1013,-504,25,-498,6180
98871,9,-41,1012,-1470,70,0,-31,-36,1013,-513,36,-502,6180
105051,11,-41,1011,-1190,0,0,-31,-36,1013,-513,36,-502,6180
111231,12,-39,1006,-980,-140,-70,-27,-38,1009,-504,31,-502,6180
117412,12,-39,1006,-980,-140,-70,-27,-42,1006,-510,28,-495,6181
123592,12,-36,1002,-1120,-70,-70,-27,-42,1006,-510,28,-495,6180
129772,11,-36,1006,-1400,70,0,-25,-39,1012,-511,30,-501,6180
135952,11,-36,1006,-1400,70,0,-25,-40,1018,-511,30,-501,6180
142133,9,-40,1011,-1540,140,0,-28,-40,1018,-508,21,-501,6181
148313,11,-41,1012,-1330,0,-70,-29,-40,1014,-507,37,-493,6180
154493,11,-41,1012,-1330,0,-70,-29,-40,1014,-507,37,-493,6180
160673,11,-40,1007,-1190,-70,-70,-30,-38,1012,-505,33,-507,6180
166853,12,-38,1004,-1120,-70,-70,-28,-36,1008,-508,27,-501,6180
173033,12,-38,1004,-1120,-70,-70,-28,-36,1008,-508,27,-501,6180
179214,10,-37,1005,-1260,0,0,-29,-38,1002,-498,28,-504,6181
185394,11,-39,1009,-1470,70,0,-29,-38,1002,-498,28,-504,6180
191574,11,-39,1009,-1470,70,0,-30,-35,1014,-514,33,-507,6180
197754,10,-39,1010,-1400,70,0,-28,-38,1008,-508,33,-498,6180
203934,11,-39,1010,-1190,-70,-70,-28,-38,1008,-508,33,-498,6180
210115,11,-39,1010,-1190,-70,-70,-30,-41,1011,-505,25,-501,6181
216295,12,-38,1008,-1120,-70,-70,-27,-38,1015,-504,33,-504,6180
222475,11,-38,1005,-1260,0,0,-27,-38,1015,-504,33,-504,6180
228655,11,-38,1005,-1260,0,0,-29,-40,1007,-504,28,-508,6180
234835,11,-39,1006,-1400,70,0,-29,-40,1007,-504,28,-508,6180
241016,10,-40,1009,-1400,70,-70,-27,-37,1018,-522,27,-501,6181
247196,10,-40,1009,-1400,70,-70,-27,-39,1011,-507,22,-501,6180
253376,9,-39,1008,-1260,0,0,-27,-39,1011,-507,22,-501,6180
259556,11,-38,1009,-1190,-70,0,-29,-37,1006,-505,31,-499,6180
265736,11,-38,1009,-1190,-70,0,-26,-35,1008,-514,22,-507,6180
271917,11,-38,1006,-1260,0,0,-26,-35,1008,-514,22,-507,6181
278097,11,-38,1007,-1400,0,-70,-29,-40,1007,-496,31,-498,6180
284277,10,-38,1007,-1400,0,-70,-29,-40,1007,-496,31,-498,6180
290457,10,-39,1009,-1330,0,-70,-29,-37,1016,-510,28,-501,6180
296637,10,-39,1009,-1190,0,-70,-28,-39,1012,-499,27,-499,6180
302818,11,-39,1009,-1190,0,-70,-28,-39,1012,-499,27,-499,6181
308998,11,-39,1007,-1190,0,-70,-30,-42,1013,-516,28,-498,6180
315178,11,-39,1007,-1190,0,-70,-30,-42,1010,-508,22,-496,6180
321358,12,-38,1007,-1190,0,-70,-27,-36,1010,-508,22,-496,6180
327539,10,-38,1008,-1400,70,0,-28,-39,1009,-513,21,-495,6181
333719,10,-38,1008,-1470,0,-70,-28,-39,1009,-513,21,-495,6180
339899,10,-38,1009,-1470,0,-70,-29,-37,1013,-505,21,-499,6180
346079,11,-38,1010,-1260,0,-70,-29,-38,1014,-504,25,-499,6180
352259,11,-38,1010,-1120,-70,0,-29,-38,1014,-504,25,-499,6180
358439,9,-38,1008,-1120,-70,0,-27,-41,1013,-502,25,-507,6180
364620,10,-37,1005,-1190,-70,0,-27,-41,1013,-507,27,-496,6181
370800,10,-37,1005,-1330,0,-70,-26,-41,1013,-507,27,-496,6180
376980,10,-38,1006,-1330,0,-70,-29,-36,1012,-499,30,-496,6180
383160,11,-38,1007,-1400,0,0,-29,-36,1012,-499,30,-496,6180
389341,11,-38,1007,-1400,0,-70,-29,-37,1009,-501,25,-496,6181
395521,11,-39,1009,-1400,0,-70,-28,-40,1010,-508,31,-502,6180
401701,11,-38,1008,-1260,0,-70,-28,-40,1010,-508,31,-502,6180
407881,11,-38,1008,-1260,0,0,-27,-38,1010,-507,30,-489,6180
414061,12,-37,1008,-1190,0,0,-27,-38,1010,-507,28,-504,6180
420241,11,-37,1007,-1260,0,-70,-30,-43,1013,-502,28,-504,6180
426422,11,-37,1007,-1260,0,-70,-27,-37,1013,-505,28,-504,6181
432602,11,-38,1007,-1330,0,-70,-27,-37,1013,-505,28,-504,6180
438782,10,-39,1007,-1330,0,-70,-29,-39,1007,-517,27,-505,6180
444962,10,-39,1007,-1330,0,-70,-29,-39,1014,-507,22,-498,6180
451143,10,-39,1009,-1330,0,0,-31,-35,1014,-507,22,-498,6181
457323,10,-39,1008,-1260,0,-70,-29,-33,1002,-508,27,-502,6180
463503,10,-39,1008,-1260,0,-70,-29,-33,1002,-508,28,-486,6180
469683,10,-38,1007,-1260,0,-70,-29,-40,1011,-498,28,-486,6180
475863,10,-39,1007,-1330,0,-70,-25,-37,1018,-513,37,-504,6180
482044,10,-39,1007,-1330,0,-70,-25,-37,1018,-513,37,-504,6181
488224,12,-39,1007,-1400,0,-70,-28,-43,1011,-508,28,-493,6180
494404,11,-38,1007,-1330,0,0,-28,-43,1011,-508,27,-495,6180
500584,11,-38,1007,-1330,0,0,-26,-39,1020,-508,27,-495,6180
506764,11,-39,1008,-1260,0,0,-29,-38,1008,-502,31,-496,6180
512944,10,-38,1007,-1260,0,-70,-29,-38,1008,-502,31,-508,6180
519125,10,-38,1007,-1260,0,-70,-30,-38,1007,-517,27,-508,6181
525305,11,-38,1006,-1260,0,-70,-27,-32,1007,-505,36,-495,6180
531485,11,-39,1007,-1330,70,0,-27,-32,1007,-505,36,-495,6180
537665,11,-39,1007,-1330,70,0,-31,-39,1007,-511,28,-495,6180
543846,10,-38,1008,-1330,70,-70,-31,-39,1007,-505,25,-490,6181
550026,10,-37,1008,-1330,0,-70,-28,-39,1019,-505,25,-490,6180
556206,10,-37,1008,-1330,0,-70,-27,-39,1010,-508,27,-508,6180
562386,11,-37,1008,-1190,-70,-70,-27,-39,1010,-508,27,-508,6180
568566,11,-38,1006,-1260,-70,-70,-27,-41,1014,-514,30,-499,6180
574746,11,-38,1006,-1260,-70,-70,-27,-38,1014,-513,34,-495,6180
580927,10,-39,1007,-1260,0,-70,-27,-38,1014,-513,34,-495,6181
587107,10,-40,1007,-1330,0,-70,-29,-40,1006,-496,28,-501,6180
593287,10,-40,1007,-1330,0,-70,-29,-40,1006,-510,27,-502,6180
599467,11,-39,1007,-1260,0,-70,-29,-35,1008,-510,27,-502,6180
605647,11,-38,1008,-1260,-70,0,-28,-38,1013,-501,30,-510,6180
611828,11,-38,1008,-1260,-70,0,-28,-38,1013,-501,30,-510,6181
618008,11,-38,1007,-1260,0,-70,-29,-39,1008,-514,28,-498,6180
624188,11,-38,1008,-1330,70,-70,-29,-39,1008,-505,30,-498,6180
630368,10,-38,1008,-1330,70,-70,-27,-41,1010,-505,30,-498,6180
636548,10,-38,1009,-1260,0,-70,-27,-36,1017,-510,31,-504,6180
642729,10,-38,1009,-1400,0,-70,-27,-36,1017,-502,22,-493,6181
648909,10,-38,1009,-1400,0,-70,-27,-41,1012,-502,22,-493,6180
655089,10,-38,1007,-1260,0,-70,-28,-38,1009,-510,27,-499,6180
661269,10,-38,1007,-1330,0,-70,-28,-38,1009,-510,27,-499,6180
667449,11,-39,1007,-1330,0,-70,-29,-35,1011,-508,33,-501,6180
673630,11,-39,1007,-1330,0,-70,-29,-35,1011,-514,30,-496,6181
679810,11,-39,1007,-1330,0,-70,-30,-39,1008,-514,30,-496,6180
685990,12,-39,1008,-1330,0,-70,-27,-39,1013,-508,22,-499,6180
692170,12,-39,1008,-1330,0,-70,-27,-39,1013,-505,28,-504,6180
698351,12,-39,1008,-1260,0,-70,-26,-40,1015,-505,28,-504,6181
704531,11,-39,1008,-1260,0,-70,-28,-41,1012,-498,31,-495,6180
710711,11,-38,1009,-1260,0,-70,-28,-41,1012,-498,31,-495,6180
716891,11,-38,1009,-1260,0,0,-28,-38,1011,-508,34,-498,6180
