Samples,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_acc2,y_acc2,z_acc2,x_mag,y_mag,z_mag
373,0,-29,993,-1190,0,-70,-19,-18,1029,-540,306,-511
374,2,-22,1015,-1120,-70,-70,-17,-21,991,-550,307,-505
375,1,-25,1003,-1050,-70,-70,-7,-24,1014,-547,310,-513
376,0,-24,1006,-1260,0,-70,-11,-25,1010,-549,312,-513
377,0,-21,1012,-980,-140,-70,-13,-19,998,-543,309,-511
378,-3,-25,1000,-910,-140,-70,-7,-26,1028,-544,301,-514
379,-4,-27,998,-1260,70,0,-14,-17,993,-546,304,-499
380,0,-20,1017,-910,-140,-140,-6,-27,1030,-540,310,-510
381,-1,-29,996,-1400,70,-70,-16,-22,994,-549,313,-510
382,1,-21,1019,-910,-140,-70,-10,-26,1018,-549,303,-507
383,-2,-28,995,-1330,70,-70,-13,-20,1001,-541,304,-516
384,2,-19,1019,-910,-70,-140,-10,-25,1009,-552,312,-502
385,-1,-27,996,-1260,70,-70,-10,-24,1011,-555,309,-510
386,2,-21,1019,-1260,0,-70,-12,-24,1002,-540,318,-507
387,1,-21,1015,-1050,-70,-70,-8,-24,1019,-546,307,-505
388,-2,-25,1002,-1120,0,-70,-13,-22,997,-550,316,-520
389,-1,-22,1012,-1120,-70,-70,-9,-23,1014,-541,316,-508
390,-2,-25,1004,-1120,0,-70,-13,-21,1000,-544,319,-504
391,-1,-24,1009,-1050,0,-70,-10,-20,1016,-547,310,-517
392,-2,-24,1007,-1050,-70,-70,-12,-21,1008,-559,309,-514
393,0,-24,1007,-1190,0,-70,-10,-25,1013,-550,313,-510
394,1,-24,1007,-1190,0,-70,-13,-23,998,-538,306,-510
395,0,-24,1009,-1050,-70,-70,-9,-26,1016,-544,316,-517
396,0,-26,1005,-1190,0,0,-12,-23,999,-541,309,-508
397,1,-24,1011,-1050,-70,-70,-10,-20,1007,-546,312,-501
398,-1,-26,1004,-1190,0,0,-13,-21,1006,-552,309,-513
399,0,-23,1011,-1120,-70,-70,-10,-22,1009,-537,315,-517
400,-1,-26,1003,-1190,0,-70,-11,-23,1006,-549,316,-510
401,-1,-22,1012,-1050,-70,-70,-12,-23,1004,-547,312,-507
402,-1,-25,1004,-1190,-70,-70,-10,-22,1013,-552,303,-510
403,-1,-25,1005,-1120,0,-70,-11,-22,1007,-541,319,-517
404,0,-24,1009,-1050,0,-70,-10,-25,1007,-546,312,-501
405,0,-25,1005,-1120,0,-70,-11,-23,1006,-552,306,-499
406,0,-24,1009,-1190,-70,-70,-10,-24,1010,-547,310,-502
407,0,-24,1007,-1120,-70,-70,-11,-23,1009,-546,304,-505
408,1,-24,1008,-1120,-70,-70,-11,-25,1007,-544,303,-508
409,0,-25,1008,-1120,-70,0,-10,-22,1008,-544,304,-513
410,0,-23,1008,-1120,0,-70,-11,-22,1008,-540,309,-514
411,0,-25,1006,-1190,0,0,-11,-23,1007,-544,306,-510
412,-1,-23,1008,-1120,-70,-70,-10,-22,1008,-547,312,-510
413,-1,-25,1006,-1120,0,-70,-12,-20,1003,-543,312,-513
414,0,-23,1008,-1120,-70,-70,-12,-22,1007,-544,315,-508
415,-1,-24,1006,-1120,0,-70,-11,-24,1010,-550,304,-505
416,0,-24,1009,-1120,-70,-70,-11,-21,1006,-535,310,-511
417,0,-25,1006,-1120,-70,-70,-10,-22,1011,-543,318,-508
418,0,-24,1008,-1120,0,-70,-12,-21,1006,-544,310,-505
419,0,-24,1007,-1120,-70,-70,-10,-24,1006,-544,310,-508
420,0,-25,1006,-1120,-70,-70,-11,-24,1005,-547,310,-507
421,0,-25,1007,-1120,0,-70,-9,-21,1008,-547,313,-516
422,0,-24,1006,-1120,0,-70,-11,-22,1009,-553,312,-510
423,0,-23,1008,-1120,0,-70,-11,-23,1007,-552,310,-510
424,0,-25,1008,-1190,-70,0,-10,-23,1009,-547,315,-513
425,0,-25,1006,-1120,-70,-70,-12,-20,1004,-540,312,-510
426,-1,-24,1007,-1120,0,-70,-11,-25,1010,-552,304,-510
427,0,-24,1008,-1120,0,-70,-11,-21,1006,-550,310,-513
428,0,-25,1007,-1120,0,-70,-11,-22,1013,-552,306,-514
429,0,-24,1008,-1120,0,-140,-11,-23,1009,-546,300,-508
430,0,-24,1008,-1120,0,-70,-10,-22,1010,-552,309,-501
431,0,-23,1008,-1120,-70,-70,-13,-23,1008,-549,306,-513
432,0,-24,1008,-1120,0,-70,-11,-26,1007,-555,312,-510
433,0,-25,1008,-1190,-70,-70,-12,-20,1009,-550,313,-508
434,0,-24,1007,-1120,-70,-70,-10,-22,1013,-549,306,-507
435,0,-25,1007,-1120,0,-70,-10,-21,1007,-544,310,-511
436,-2,-25,1008,-1050,0,-70,-10,-22,1008,-552,303,-516
437,0,-24,1006,-1120,0,-70,-11,-21,1005,-549,304,-510
438,-1,-24,1008,-1120,-70,-70,-10,-22,1011,-546,303,-513
439,0,-26,1007,-1120,-70,-70,-12,-21,1009,-550,312,-517
440,-1,-24,1007,-1120,0,-70,-10,-24,1008,-553,315,-510
441,0,-24,1007,-1120,-70,-70,-12,-21,1004,-550,309,-511
442,0,-24,1008,-1120,-70,-70,-10,-23,1008,-553,307,-505
443,0,-24,1006,-1120,-70,-70,-12,-24,1008,-550,322,-507
444,0,-24,1007,-1120,-70,-70,-11,-25,1007,-543,312,-517
445,0,-24,1006,-1120,-70,-70,-11,-21,1006,-549,316,-514
446,-1,-23,1008,-1120,-70,-70,-12,-21,1008,-541,315,-507
447,-1,-23,1007,-1120,-70,-70,-10,-22,1012,-547,315,-511
448,0,-23,1008,-1120,0,-70,-11,-24,1007,-556,306,-517
449,-1,-24,1007,-1050,0,-70,-10,-22,1006,-547,310,-510
450,0,-24,1008,-1120,-70,-70,-11,-23,1009,-538,315,-505
451,0,-24,1008,-1120,0,-70,-11,-23,1004,-543,309,-513
452,0,-25,1006,-1050,0,-70,-11,-24,1009,-547,319,-513
453,-1,-25,1007,-1120,0,-70,-13,-23,1005,-540,319,-508
454,-1,-24,1007,-1050,0,-70,-11,-20,1011,-558,304,-505
455,0,-24,1008,-1120,-70,-70,-11,-22,1007,-540,312,-516
456,0,-25,1008,-1120,-70,-70,-10,-25,1006,-543,313,-504
457,-1,-24,1007,-1120,0,-70,-13,-21,1010,-541,313,-510
458,0,-25,1008,-1190,0,0,-11,-25,1010,-546,306,-513
459,0,-25,1007,-1190,0,-70,-10,-22,1008,-543,304,-504
460,0,-24,1007,-1120,0,-70,-10,-22,1006,-541,319,-499
461,0,-24,1007,-1120,0,-70,-11,-25,1009,-546,300,-499
462,-1,-25,1008,-1120,-70,-70,-12,-23,1007,-553,316,-495
463,-1,-25,1006,-1120,-70,-70,-11,-23,1007,-541,312,-508
464,0,-24,1008,-1120,-70,-70,-10,-23,1005,-543,309,-513
465,0,-24,1007,-1120,0,-70,-10,-23,1008,-544,307,-498
466,0,-25,1008,-1120,-70,-70,-12,-22,1010,-546,318,-516
467,0,-24,1008,-1050,-70,-70,-11,-23,1006,-543,312,-508
468,0,-25,1008,-1120,0,-70,-11,-21,1010,-546,312,-510
469,0,-24,1009,-1120,0,-70,-11,-20,1008,-546,313,-508
470,0,-24,1007,-1120,0,-70,-11,-23,1011,-546,315,-507
471,0,-24,1008,-1120,0,-70,-11,-20,1007,-550,310,-508
472,0,-24,1009,-1120,0,-70,-11,-24,1010,-541,312,-502
473,0,-24,1007,-1120,-70,-70,-12,-20,1011,-547,313,-507
474,0,-26,1007,-1120,-70,-70,-11,-23,1010,-544,321,-507
475,0,-24,1008,-1120,-70,-140,-11,-22,1011,-543,312,-507
476,0,-24,1008,-1120,-70,-70,-11,-25,1006,-544,298,-499
477,0,-24,1008,-1050,-70,-70,-12,-23,1007,-538,315,-501
478,0,-25,1008,-1120,-70,-70,-10,-24,1010,-547,315,-501
479,0,-25,1008,-1120,0,-70,-13,-20,1008,-540,312,-507
480,-1,-24,1008,-1120,-70,-70,-10,-23,1011,-553,304,-504
481,0,-25,1008,-1120,0,-70,-10,-23,1008,-540,306,-514
482,0,-26,1008,-1120,-70,-70,-10,-22,1004,-547,304,-505
483,0,-25,1007,-1120,0,-70,-10,-25,1012,-546,303,-514
484,0,-24,1007,-1050,-70,-70,-11,-22,1008,-541,315,-511
485,0,-25,1007,-1120,0,-70,-11,-26,1010,-550,309,-505
486,0,-25,1007,-1120,-70,-70,-11,-24,1005,-549,313,-511
487,0,-24,1007,-1120,-70,-70,-10,-24,1008,-550,309,-507
488,0,-24,1007,-1190,0,-70,-13,-22,1008,-541,316,-510
489,0,-24,1008,-1120,0,-70,-12,-24,1010,-543,310,-505
490,0,-25,1008,-1120,0,-70,-10,-22,1009,-550,310,-517
491,0,-23,1007,-1120,0,-70,-11,-22,1008,-544,316,-508
492,0,-24,1008,-1190,-70,-70,-9,-22,1011,-549,306,-511
493,0,-25,1007,-1120,0,-70,-12,-21,1007,-552,312,-516
494,0,-25,1008,-1050,0,-70,-13,-24,1006,-546,315,-513
495,0,-24,1009,-1120,0,-70,-9,-24,1009,-546,309,-510
496,0,-23,1008,-1190,0,-70,-12,-24,1006,-550,310,-511
497,0,-24,1007,-1120,0,-70,-10,-22,1007,-550,306,-517
498,0,-24,1007,-1120,0,-70,-10,-23,1006,-541,297,-514
499,0,-24,1008,-1120,0,-70,-10,-22,1010,-543,315,-511
500,0,-23,1008,-1120,-70,-70,-11,-23,1008,-544,310,-501
501,0,-24,1007,-1120,0,-70,-10,-22,1007,-541,306,-504
502,-1,-24,1008,-1120,0,-70,-10,-24,1006,-549,309,-513
503,0,-24,1008,-1120,-70,-70,-11,-22,1009,-538,309,-514
504,-1,-24,1008,-1120,0,-70,-11,-24,1009,-547,310,-507
505,-1,-24,1008,-1120,0,-70,-12,-22,1005,-549,310,-508
506,-1,-23,1008,-1120,0,-70,-10,-21,1007,-550,307,-511
507,0,-24,1007,-1120,0,-70,-12,-23,1008,-543,315,-508
508,0,-24,1008,-1120,0,-70,-11,-21,1006,-552,306,-511
509,0,-26,1008,-1120,0,-70,-12,-23,1010,-543,318,-516
510,0,-25,1008,-1120,-70,-70,-10,-24,1009,-540,300,-517
511,0,-25,1007,-1120,-70,-70,-11,-24,1007,-549,304,-505
512,0,-24,1009,-1050,-70,0,-11,-22,1012,-540,312,-511
513,0,-25,1008,-1120,-70,-70,-10,-23,1011,-546,312,-502
514,0,-24,1009,-1190,-70,-70,-11,-23,1009,-543,313,-511
515,-1,-24,1007,-1120,-70,-70,-10,-23,1008,-553,316,-507
516,0,-24,1008,-1190,0,-70,-10,-21,1006,-552,306,-499
517,0,-24,1008,-1120,-70,-70,-13,-23,1006,-552,304,-508
518,-1,-24,1008,-1120,-70,-70,-13,-23,1012,-541,318,-498
519,0,-24,1008,-1120,0,-70,-10,-22,1009,-547,310,-505
520,0,-24,1007,-1120,-70,-70,-12,-22,1008,-543,310,-508
521,-1,-25,1008,-1120,0,-70,-12,-22,1012,-552,309,-519
522,0,-24,1009,-1050,0,-70,-10,-23,1008,-553,313,-507
523,-1,-24,1008,-1120,-70,-70,-10,-22,1012,-546,318,-514
524,0,-25,1008,-1120,-70,-70,-11,-23,1009,-541,309,-511
525,0,-25,1007,-1120,-70,-70,-10,-22,1009,-550,309,-513
526,-2,-24,1008,-1120,0,-70,-10,-21,1010,-549,309,-511
527,0,-25,1007,-1120,0,-140,-13,-22,1010,-549,312,-507
528,0,-24,1008,-1120,0,-140,-11,-20,1009,-544,312,-507
529,-1,-24,1008,-1120,0,-70,-12,-22,1008,-544,304,-507
530,-1,-24,1007,-1120,-70,-70,-10,-24,1012,-544,316,-514
531,0,-24,1008,-1120,-70,-70,-11,-23,1006,-546,309,-516
532,0,-24,1007,-1120,0,-70,-11,-23,1009,-558,304,-513
533,0,-24,1007,-1120,0,-70,-11,-21,1008,-553,307,-513
534,-1,-24,1008,-1050,0,-70,-10,-23,1008,-540,307,-511
535,-1,-24,1008,-1120,0,-70,-10,-22,1005,-544,313,-510
536,-1,-25,1008,-1120,0,-70,-10,-25,1008,-544,312,-502
537,-1,-25,1008,-1120,0,-70,-10,-20,1006,-547,316,-507
538,-1,-24,1008,-1120,-70,-70,-11,-25,1009,-540,312,-514
539,0,-25,1007,-1120,0,-70,-11,-24,1007,-538,307,-507
540,0,-24,1007,-1120,0,-70,-11,-24,1007,-543,301,-511
541,0,-25,1008,-1120,-70,-70,-11,-23,1009,-553,307,-516
542,0,-24,1008,-1120,-70,-70,-10,-21,1008,-547,309,-499
543,0,-24,1008,-1050,-70,-70,-10,-22,1011,-550,309,-511
544,-1,-25,1007,-1120,0,-70,-12,-23,1004,-549,307,-514
545,0,-24,1007,-1120,0,-70,-10,-23,1009,-541,309,-517
546,-1,-24,1008,-1120,0,-70,-11,-21,1008,-547,313,-520
547,0,-25,1008,-1050,0,-70,-11,-21,1012,-544,307,-513
548,0,-24,1008,-1120,0,-70,-12,-23,1005,-549,304,-508
549,0,-25,1008,-1120,0,-70,-10,-23,1007,-541,309,-508
550,0,-24,1008,-1120,-70,-70,-12,-21,1009,-550,309,-508
551,0,-24,1008,-1120,0,-70,-11,-22,1010,-544,315,-514
552,0,-24,1008,-1190,0,-70,-10,-23,1007,-544,315,-514
553,0,-25,1007,-1120,0,-70,-12,-23,1006,-546,303,-520
554,0,-25,1008,-1120,0,-70,-11,-22,1007,-549,316,-517
555,0,-25,1009,-1120,0,-70,-11,-21,1015,-556,310,-510
556,0,-25,1008,-1120,0,-70,-11,-21,1006,-537,319,-510
557,0,-25,1008,-1050,0,-70,-10,-23,1010,-552,310,-513
558,0,-25,1008,-1120,0,-70,-12,-23,1008,-555,319,-508
559,-1,-24,1008,-1190,-70,-70,-10,-23,1007,-538,304,-508
560,-1,-25,1008,-1120,-70,-70,-10,-26,1009,-550,297,-507
561,0,-25,1007,-1190,-70,-70,-12,-24,1005,-555,315,-507
562,0,-25,1008,-1120,0,-70,-10,-22,1006,-541,300,-508
