Samples,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_acc2,y_acc2,z_acc2,x_mag,y_mag,z_mag
86,1,-23,1008,-1120,-70,-70,-9,-25,1008,-574,-30,-400
87,0,-24,1006,-1120,0,-70,-9,-23,1007,-576,-25,-397
88,1,-22,1009,-1120,-70,-70,-9,-24,1012,-585,-22,-393
89,1,-22,1007,-1120,-70,-70,-8,-23,1013,-577,-28,-399
90,0,-22,1008,-1120,0,-70,-10,-24,1003,-582,-25,-405
91,0,-23,1008,-1120,-70,-70,-8,-25,1011,-580,-18,-396
92,0,-22,1007,-1050,0,-70,-10,-23,1008,-576,-18,-406
93,0,-23,1007,-1120,0,-70,-10,-24,1006,-585,-19,-397
94,0,-22,1009,-1050,0,-70,-9,-24,1010,-576,-16,-399
95,0,-23,1006,-1120,0,-70,-9,-24,1004,-577,-15,-406
96,0,-23,1009,-1120,-70,-70,-8,-25,1013,-579,-18,-393
97,0,-23,1006,-1120,0,-70,-9,-25,1006,-579,-19,-414
98,1,-22,1009,-1120,0,-70,-8,-25,1011,-577,-10,-396
99,0,-22,1008,-1120,0,-70,-9,-26,1010,-585,-15,-408
100,0,-22,1008,-1050,-70,-70,-10,-26,1010,-577,-31,-406
101,0,-22,1007,-1120,-70,-70,-10,-25,1009,-582,-18,-394
102,1,-22,1009,-1050,0,-70,-9,-25,1008,-577,-10,-400
103,0,-23,1007,-1120,0,-70,-8,-22,1007,-580,-16,-394
104,0,-23,1009,-1050,-70,-70,-9,-24,1008,-565,-18,-400
105,0,-23,1007,-1050,0,-70,-10,-26,1010,-570,-18,-397
106,0,-22,1008,-1050,0,-70,-11,-25,1005,-573,-16,-399
107,0,-22,1007,-1190,-70,-70,-8,-23,1011,-579,-25,-405
108,0,-23,1008,-1050,-70,-70,-8,-25,1005,-580,-12,-403
109,1,-23,1007,-1120,-70,-70,-9,-22,1006,-589,-30,-402
110,2,-23,1008,-1050,-70,-70,-9,-24,1006,-579,-15,-406
111,2,-22,1007,-1050,0,-70,-8,-25,1008,-579,-22,-405
112,1,-22,1008,-1120,-70,-70,-10,-24,1015,-574,-30,-396
